story_key,comparison_type,variant,semantic_similarity_sbert,delta_cli,delta_aoa,delta_concreteness,delta_imageability,delta_fk_grade,delta_mtld,delta_tier2_proxy_token_ratio,tier2_types_retained,tier2_types_removed,tier2_types_added,low_frequency_tier2_types_retained
amazon,human_reference,human::elementary,,-0.06289022610753392,-9.743628185907028,-10.74290064712602,-4.601316701316705,-2.3344923148013024,-20.25157422927292,-0.0029036004645760782,address; advisory; agriculture; application; applied; cooperation; cultural; currently; domain; environmental; generic; governmental; important; interest; known; level; meaning; protection; region; science; technology; use; view; word,argue; author; existing; expansion; expected; fore; governance; group; label; novel; organization; primary; promotion; proposed; province; purpose; received; reinforce; relevant; role; strategy; within,discuss; discussion; support,advisory; agriculture; cooperation; cultural; currently; environmental; meaning; protection; science; technology; view; word
amsterdam,human_reference,human::elementary,,0.4445357807331618,-21.478978978979,5.342995169082087,1.5589080459770344,-2.7606732402708936,-42.173335817841306,-0.025138260432378077,century; industrial; learned; planning; social; whole,access; accurate; basic; ensure; nature; policy; rapidly; society; tolerance,maximum; use,century; industrial; learned; planning; social; whole
anita,human_reference,human::elementary,,0.40456159443418854,-7.199999999999989,9.172724730882123,10.706168831168782,-2.340560086853074,-25.183789954337897,-0.05215898280702568,african; asian; bridge; census; change; class; cultural; discussion; image; important; inequality; link; natural; need; population,ancestry; apparent; attitude; complex; contrast; cycle; define; defined; demographic; discrimination; diversity; equality; explicit; goal; however; largely; latent; lecturer; likely; mainstream; minority; periphery; predominantly; prejudice; profoundly; project; publication; racial; relatively; result; social; society; sound; statistics; successful; suggestive; support; university,difference,asian; bridge; census; class; cultural; discussion; important; inequality; link; natural
arctic mapping,human_reference,human::elementary,,0.32442063038629554,-17.909090909090935,2.736447430089015,-0.17962962962963047,-4.054289861319148,-49.54225452834777,-0.011157946937763452,address; application; difficulty; display; expert; however; information; isolated; known; map; mapping; novelty; planning; project; territory; understanding; use; view,accessible; accurate; accurately; affect; chosen; cultural; data; ensure; existing; exploration; founding; growth; inhospitable; initial; largely; modern; needed; passage; provide; rapid; rely; result; selected; significant; situate; test; tool; transport; weighing,correctly; future; given; important; mean; short; whole,address; application; difficulty; display; expert; information; isolated; novelty; understanding; use
banksy,human_reference,human::elementary,,0.7621826909903279,-31.6653895274585,10.03474903474904,7.4342105263157805,-4.1718221007404495,-39.403841942601346,-0.03437209302325581,expected; impact,catalogue; clarify; commentary; conclusion; continued; control; critical; important; inclusion; interest; known; maintain; modern; potential; preservation; previously; proposed; separate; social; supported,received,expected; impact
billionaires,human_reference,human::elementary,,0.7434265606507711,-42.13464235624127,2.7735387463633856,1.7154088050314158,-2.53433355044724,-8.502931923113408,-0.06987202704334178,additional; aid; benefit; century; global; group; increased; inequality; poverty; report; similar; source; unequal; wealth,above; accelerating; accumulation; both; corrosive; creation; destructive; economic; economically; formally; forum; growth; history; improve; increasing; inefficient; inevitably; international; level; limit; low; monetary; need; net; network; process; published; rapidly; scale; significantly; socially; total; use; yield,information; reduce; reduced,additional; benefit; century; group; increased; similar; source
blackberry,human_reference,human::elementary,,-0.0540861215629064,-8.994425863991069,-8.061846689895447,-5.738003735086693,-1.4751117019368394,-53.14194252686636,-0.00952054399446263,absent; application; complex; connection; independent; isolated; limit; low; network; networking; revolution; sharing; social; technology; use; visual,account; analysis; attempt; available; belief; communicating; demand; deprivation; device; economic; effective; environment; following; initial; interest; mainly; multifaceted; notion; research; response; retain; source; system; term,alternative; period,absent; application; complex; connection; independent; isolated; limit; low; network; revolution; technology; visual
bolivia,human_reference,human::elementary,,0.1938979173473636,-23.946570972886718,-2.363559730250529,-10.658938420763604,-4.016584732655765,-1.5419695377128448,-0.026462063086104007,change; control; cultural; evidence; global; history; human; importance; important; international; model; natural; policy; production; region; report; state; support; transform; use,absolute; apply; appropriate; arbitrary; attain; broad; crucially; detrimental; developing; external; formally; framework; gain; given; however; implementation; increase; inquiry; integrity; numerous; pernicious; population; present; principal; provide; racial; rational; response; select; submission; sufficient; therefore; within,disagreement; effect; example; heritage; importantly; received; result; significant,change; evidence; history; human; importance; model; natural; region; transform; use
bonus pay,human_reference,human::elementary,,0.15384025258208367,-21.11518708730739,-6.431094257854795,-6.43230625583567,-3.5522625101794603,-21.402442457557754,-0.04494455316373125,act; culture; difference; equal; equality; example; female; flexibility; given; improve; institute; international; male; management; performance; promote; received; report; scheme; transparency; working,approach; both; changing; combined; contention; data; decreasing; direct; disparity; emphasis; evidence; existence; flexible; however; identical; individual; inequitable; level; mainstream; method; nature; overall; provide; research; reveal; shared; skewed; support; total,important,culture; difference; example; flexibility; international; promote; transparency
brazil,human_reference,human::elementary,,0.20176097363358092,-27.09119047619049,-8.14454325867365,-8.05936462778567,-2.621922335856752,-23.83842858915949,-0.038716840290081024,both; changing; demand; demonstrate; dispersed; experience; experienced; inequality; international; low; natural; need; quality; response; revolution; state; transport,assembly; challenge; disproportionately; evident; express; following; geographic; global; group; however; importance; initial; largely; level; link; marked; persistently; previous; rapid; regional; shape; similarly; social; sound; suggested; tend; test; varied; widely; widespread,given; improved,both; changing; demand; demonstrate; dispersed; experience; inequality; international; low; natural; need; quality; response; transport
cigarettes,human_reference,human::elementary,,-0.3016122382548907,-18.591331269349837,-24.574442435201945,-17.124844204403814,-4.261790794979081,-27.6417318259856,-0.06656880421011598,adult; electronic; european; harmful; important; introduction; need; reduce,advance; array; association; basis; benefit; broadly; clarify; compulsory; demand; directive; effective; evidence; expanding; following; further; group; however; increase; increasingly; inform; instance; manufacture; needed; organization; present; process; promotion; proportionate; proposed; support; table; targeting; trend; use; useful; voluntary,example; necessary,adult; electronic; harmful; introduction; reduce
